	mgm4472160.3	mgm4472167.3	mgm4472253.3	mgm4472255.3	mgm4472304.3	mgm4472305.3	mgm4472312.3	mgm4472337.3	mgm4472353.3	mgm4472361.3	mgm4472397.3	mgm4472419.3	mgm4472428.3	mgm4472444.3	mgm4472462.3	mgm4472464.3	mgm4472467.3	mgm4472473.3	mgm4472484.3	mgm4472495.3	mgm4472580.3	mgm4472586.3	mgm4472682.3	mgm4472751.3	mgm4472934.3	mgm4473326.3	mgm4473472.3	mgm4473666.3	mgm4478487.3	mgm4478571.3
(GlcNAc)2_Catabolic_Operon	0	0	0	0	0	0	0	0	0	1113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0
2-Ketogluconate_Utilization	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0
2-phosphoglycolate_salvage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0
4-Hydroxyphenylacetic_acid_catabolic_pathway	0	0	1205	999	0	0	0	0	0	0	0	0	0	682	0	0	2568	0	274	1130	0	0	0	0	0	820	0	5	0	0
5-FCL-like_protein	227911	220593	198999	192745	212583	245539	210284	0	205294	0	151536	0	0	122644	198128	0	0	0	239044	202447	0	0	0	195029	0	0	126548	150977	209619	123787
A_conserved_operon_linked_to_TyrR_and_possibly_involved_in_virulence	5537	8991	9196	5632	9243	8980	1751	30	4825	83	1650	4573	5102	2211	3827	11	243	0	8034	6161	9	14	0	3791	0	0	1586	1986	4524	1636
A_Gammaproteobacteria_Cluster_Relating_to_Translation	53332	52978	48845	49439	58494	58845	48371	22579	50977	20318	48389	70672	84742	31023	45086	0	21451	28135	57827	51400	0	0	0	37649	0	0	38991	40036	46511	38337
A_Glutathione-dependent_Thiol_Reductase_Associated_with_a_Step_in_Lysine_Biosynthesis	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	80	0	0	0	0	9	0	0	0	0	0	0	0	0
A_Gram-positive_cluster_that_relates_ribosomal_protein_L28P_to_a_set_of_uncharacterized_proteins	0	0	61464	0	70126	0	13450	0	0	0	520	19604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11645	61535	0
A_toxin-antitoxin_module_cotranscribed_with_DinB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	14	0	0	0	0	0	0	0	0
ABC_transporter_of_unknown_substrate_X	9168	9594	12931	8577	12928	12664	2260	49	7498	274	3766	5874	5129	4145	7965	0	265	11	11591	10675	35	0	0	4234	0	0	3317	1809	7248	3121
ABC_transporter_oligopeptide_(TC_3.A.1.5.1)	36441	0	0	34767	0	0	0	0	0	0	0	16966	16537	22499	11991	0	0	0	0	35408	0	0	0	0	0	0	0	8124	0	0
ABC_transporter_peptide_(TC_3.A.1.5.5)	7812	0	0	8159	17455	16674	0	0	6636	193	0	0	9643	3421	0	0	603	0	14706	6560	0	0	0	6577	0	0	3302	3609	6365	3141
ABC-type_iron_transport_system	0	0	0	0	1776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accessory_colonization_factor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	706	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetoin,_butanediol_metabolism	62705	58664	50324	48584	61241	67413	41807	0	53643	0	44243	65163	67463	34136	42512	0	0	0	78644	53862	0	0	0	39198	0	0	30847	35267	53223	35592
Acetone_carboxylase	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetyl-CoA_fermentation_to_Butyrate	0	0	0	0	0	0	5114	0	0	0	5363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acid_resistance_mechanisms	0	9109	9874	10302	11768	11663	0	20413	0	0	0	0	16602	7163	11270	0	18771	23640	13387	0	0	20169	0	3845	0	18683	11341	0	10176	0
Acyl-CoA_thioesterase_II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0
Adaptation_to_d-cysteine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0
Adenosyl_nucleosidases	22206	19412	17598	12031	18989	22109	0	0	0	0	0	15854	19262	8376	10382	0	0	0	22600	11718	0	0	0	8425	0	0	9386	9810	18206	9082
Adhesins_in_Staphylococcus	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adhesion_of_Campylobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1332	2241	0	0	0	0	0	0	0	0	0	0	0	0	0
Aerotolerance_operon_in_Bacteroides_and_potentially_orthologous_operons_in_other_organisms	1868	1257	1079	1218	1824	1570	0	0	0	0	0	2996	4413	0	0	0	0	0	1653	0	0	0	0	0	0	0	3818	0	1658	3901
Alanine_biosynthesis	0	0	0	54206	0	0	33004	0	0	0	11899	49339	84410	29053	48864	0	0	0	0	57998	0	0	0	0	0	0	28033	27135	0	27299
Alkaloid_biosynthesis_from_L-lysine	831	174	515	225	710	802	2966	0	549	32	2943	2903	0	230	2102	0	0	0	404	461	0	0	0	1388	0	0	2784	1872	666	2703
Alkylphosphonate_utilization	3920	4091	4109	3398	4127	4377	2729	0	3205	0	0	4004	5957	2684	0	0	0	0	4356	3559	0	0	0	3134	0	0	0	2169	3113	0
Allantoin_Utilization	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1138	0	0	0	0	9	0	0	29	0	0	0	0	0
Alpha-acetolactate_operon	2520	2431	2009	2292	1922	1861	2130	0	1029	0	2062	2280	2825	2067	1388	0	0	0	3918	1378	2	0	0	1684	0	0	1118	1324	2029	1086
alpha-Fimbriae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0
Aminoglycoside_adenylyltransferases	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
Aminopeptidases_(EC_3.4.11.-)	0	0	0	0	0	0	18837	0	0	0	3676	10302	40664	0	24241	0	0	0	0	0	0	0	0	0	0	0	11104	16141	0	11193
Ammonia_assimilation	40961	55407	52750	48566	45496	53664	30302	0	51876	0	22861	59553	55756	26405	37078	0	0	0	53747	50943	0	0	0	46899	0	0	28689	25485	36029	33064
AMP_to_3-phosphoglycerate	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerobic_benzoate_metabolism	0	0	0	0	0	0	1512	0	0	0	0	0	7299	0	3884	0	0	0	0	0	0	0	0	0	0	0	0	4794	0	0
Anaerobic_Oxidative_Degradation_of_L-Ornithine	5781	4803	2690	4531	5701	5533	712	0	3556	0	1942	2647	991	872	146	0	0	0	7623	5188	0	0	0	1240	0	0	87	1153	4416	111
Anaerobic_respiratory_reductases	0	0	0	0	0	0	12105	0	0	0	7602	0	0	0	4676	0	0	0	25049	0	1199	0	0	10289	104	714	0	0	0	0
Archaeal_membrane_bound_hydrogenases	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	84	8	0	0	0	14	0	0	0	0	10	0	0	0	0
Arginine_and_Ornithine_Degradation	95580	99437	97963	88488	106667	113859	68886	55273	94021	0	47370	73633	156778	50683	77590	0	61743	66114	98329	100576	47609	0	0	80537	36237	0	41629	56197	79626	41663
Arginine_Biosynthesis_extended	41008	46493	51734	46574	43536	53573	49084	0	46861	0	42544	71362	78947	28203	51117	0	0	0	56546	47715	0	0	0	46330	0	0	31665	39530	52127	30948
Arginine_Deiminase_Pathway	35881	39079	36341	34464	41888	41140	14160	4979	32669	6010	15188	23496	0	16448	32111	3771	0	6850	43008	43501	4814	0	3247	0	0	0	10918	22684	29365	10828
Aromatic_Amin_Catabolism	0	0	0	386	0	0	0	0	0	0	0	0	0	0	0	0	1202	0	0	400	0	0	0	0	0	0	0	5	553	0
Aromatic_amino_acid_degradation	10937	7504	10122	8661	9215	9514	3893	0	9999	0	9283	12698	14468	6419	5258	8197	5780	0	11176	10843	0	0	0	6609	0	0	4260	7404	8906	3959
Arsenic_resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	101
At1g26220_At1g32070	0	0	0	0	14166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
At1g54520	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
At2g23840	63949	55958	51645	56600	55725	66412	58082	0	64266	0	61487	87304	106633	39608	53783	0	0	39819	65538	60223	0	0	0	46886	24036	0	47570	50189	55801	46420
At2g33980_At1g28960	20238	19971	16928	18071	16437	20524	0	0	0	0	0	0	0	0	16748	0	0	0	20991	18503	0	0	0	15438	0	0	13699	0	17084	13058
At3g21300	0	0	38876	0	42510	49174	34757	0	0	0	17791	28749	51641	0	25731	0	0	0	53527	0	0	0	0	0	0	0	0	25027	43221	0
At4g10620_At3g57180_At3g47450	0	24991	0	18484	0	0	5003	0	0	0	9373	12432	12804	0	4864	0	0	0	30794	0	0	0	0	0	0	0	0	7496	23176	0
At4g17370	0	36	43	0	0	30	0	0	0	0	2	0	0	0	17	0	0	0	0	14	3	0	0	11	0	0	8	2	12	5
At5g04520_AT1G06240	65315	69208	63205	62883	65313	75522	45288	0	0	0	43021	60301	82689	35915	41261	0	0	0	69920	62003	0	0	0	54706	0	0	32501	37607	56202	33798
At5g37530	0	117129	0	95843	0	0	77501	0	0	0	59513	0	152363	57909	84916	0	0	0	127689	101466	0	0	0	0	0	0	69202	66158	100587	67592
At5g48545_and_At3g56490_At1g31160	3940	5227	3182	4296	3552	4864	2364	0	1733	0	0	0	4621	2651	1456	0	0	0	6358	2994	0	0	0	4407	0	0	3661	2005	4081	3542
At5g63420	111711	119016	109524	106534	111664	132311	90208	0	109160	0	86456	136472	158191	0	98412	0	0	0	116560	112060	0	0	0	88333	0	0	0	71775	104558	57859
ATP-dependent_efflux_pump_transporter_Ybh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	950	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP-dependent_RNA_helicases,_bacterial	0	44524	39072	36563	42462	47742	0	0	0	0	0	0	0	23664	0	0	0	0	46717	37001	0	0	0	0	0	0	21981	0	35377	22084
Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon)	6656	6236	6224	5817	5790	6770	5002	2762	5698	1783	9282	6682	14430	4025	4125	2092	3141	3395	6423	5913	1398	2251	2172	10040	2854	0	3781	4905	5794	3686
Autotransporter_proteins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0
Auxin_biosynthesis	0	0	0	0	38189	0	22195	13046	0	0	23305	31627	32677	0	19769	0	0	0	0	0	0	0	0	0	0	0	19187	14350	34647	18582
Bacterial_Chemotaxis	0	0	0	0	0	0	2597	0	0	0	0	5424	9832	0	6664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacterial_cyanide_production_and_tolerance_mechanisms	11737	21324	0	0	17151	16323	7431	0	0	0	10721	14642	24819	0	20406	0	0	0	26511	0	0	0	0	16567	0	0	0	10101	0	0
Bacterial_Cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44814	0	0
