	...1	...2	0	...4	...5	546 Bottles	Location	Producer	Nomen	Varrietal(s)	Vintage	Type	Notes
1	1	NA	1	1	1	2	1	212	1	1	1	1	1
2	NA	NA	2	1	2	2	2	1	248	1	1	1	1
3	NA	NA	3	1	3	2	3	1	1	127	1	1	1
4	NA	NA	4	1	4	2	4	38	NA	NA	15	4	28
5	NA	NA	5	1	5	2	5	111	220	115	22	11	207
6	NA	NA	6	1	6	2	6	111	231	98	21	11	162
7	NA	NA	7	1	7	2	7	111	154	91	22	11	170
8	NA	NA	8	1	8	2	8	38	NA	NA	15	4	28
9	NA	NA	9	1	9	2	9	111	44	67	23	11	162
10	NA	NA	10	1	10	2	10	111	44	67	23	11	162
11	NA	NA	11	1	11	2	11	111	176	99	2	11	162
12	NA	NA	12	1	12	2	12	85	NA	NA	22	4	118
13	NA	NA	13	1	12	3	13	NA	NA	NA	22	NA	162
14	NA	NA	14	1	13	2	14	85	NA	NA	22	4	118
15	NA	NA	15	1	13	3	15	NA	NA	NA	22	NA	162
16	NA	NA	16	1	14	2	16	123	111	NA	17	11	122
17	NA	NA	17	1	14	3	17	NA	NA	NA	22	NA	162
18	NA	NA	18	1	15	2	18	NA	NA	NA	22	NA	162
19	NA	NA	19	1	15	3	19	NA	NA	NA	22	NA	162
20	NA	NA	20	1	16	2	20	NA	NA	NA	22	NA	162
21	NA	NA	21	1	16	3	21	NA	NA	NA	22	NA	162
22	NA	NA	22	1	17	2	22	NA	NA	NA	22	NA	162
23	NA	NA	23	1	17	3	23	NA	NA	NA	22	NA	162
24	NA	NA	24	1	18	2	24	NA	NA	NA	22	NA	162
25	NA	NA	25	1	18	3	25	NA	NA	NA	22	NA	162
26	NA	NA	26	1	19	2	26	194	203	59	17	4	162
27	NA	NA	27	1	19	3	27	NA	NA	NA	22	NA	162
28	NA	NA	28	1	20	2	28	194	203	59	17	4	162
29	NA	NA	29	1	20	3	29	NA	NA	NA	22	NA	162
30	NA	NA	30	2	1	2	320	113	203	100	18	4	57
31	NA	NA	31	2	2	2	321	113	203	100	18	4	57
32	NA	NA	32	2	3	2	322	113	203	100	18	4	57
33	NA	NA	33	2	4	2	323	148	97	76	12	11	222
34	NA	NA	34	2	5	2	324	113	203	100	18	4	57
35	NA	NA	35	2	6	2	325	113	203	100	18	4	57
36	NA	NA	36	2	7	2	326	80	93	75	15	11	162
37	NA	NA	37	2	8	2	327	81	138	NA	15	4	28
38	NA	NA	38	2	9	2	328	86	203	100	15	4	201
39	NA	NA	39	2	10	2	329	81	138	NA	15	4	28
40	NA	NA	40	2	11	2	330	NA	NA	NA	22	NA	162
41	NA	NA	41	2	12	2	331	108	59	NA	17	4	64
42	NA	NA	42	2	12	3	332	NA	NA	NA	22	NA	162
43	NA	NA	43	2	13	2	333	113	203	100	19	4	162
44	NA	NA	44	2	13	3	334	NA	NA	NA	22	NA	162
45	NA	NA	45	2	14	2	335	225	203	NA	17	4	99
46	NA	NA	46	2	14	3	336	NA	NA	NA	22	NA	162
47	NA	NA	47	2	15	2	337	54	203	NA	17	4	52
48	NA	NA	48	2	15	3	338	NA	NA	NA	22	NA	162
49	NA	NA	49	2	16	2	339	134	203	NA	19	4	3
50	NA	NA	50	2	16	3	340	NA	NA	NA	22	NA	162
51	NA	NA	51	2	17	2	341	134	220	115	19	11	162
52	NA	NA	52	2	17	3	342	NA	NA	NA	22	NA	162
53	NA	NA	53	2	18	2	343	NA	NA	NA	22	NA	162
54	NA	NA	54	2	18	3	344	NA	NA	NA	22	NA	162
55	NA	NA	55	2	19	2	345	NA	NA	NA	22	NA	162
56	NA	NA	56	2	19	3	346	NA	NA	NA	22	NA	162
57	NA	NA	57	2	20	2	347	NA	NA	NA	22	NA	162
58	NA	NA	58	2	20	3	348	NA	NA	NA	22	NA	162
59	NA	NA	59	3	1	2	637	173	266	103	23	11	198
60	NA	NA	60	3	2	2	638	113	250	67	14	11	162
61	NA	NA	61	3	3	2	639	113	206	67	15	11	171
62	NA	NA	62	3	4	2	640	96	NA	52	12	11	222
63	NA	NA	63	3	5	2	641	111	45	67	21	11	162
64	NA	NA	64	3	6	2	642	111	45	67	21	11	162
65	NA	NA	65	3	7	2	643	NA	NA	NA	22	NA	162
66	NA	NA	66	3	8	2	644	140	48	58	14	11	195
67	NA	NA	67	3	9	2	645	6	179	115	12	11	196
68	NA	NA	68	3	10	2	646	62	233	108	18	7	162
69	NA	NA	69	3	11	2	647	NA	NA	NA	22	NA	162
70	NA	NA	70	3	12	2	648	42	48	67	17	11	121
71	NA	NA	71	3	12	3	649	NA	NA	NA	22	NA	162
72	NA	NA	72	3	13	2	650	NA	NA	NA	22	NA	162
73	NA	NA	73	3	13	3	651	NA	NA	NA	22	NA	162
74	NA	NA	74	3	14	2	652	NA	NA	NA	22	NA	162
75	NA	NA	75	3	14	3	653	NA	NA	NA	22	NA	162
76	NA	NA	76	3	15	2	654	NA	NA	NA	22	NA	162
77	NA	NA	77	3	15	3	655	NA	NA	NA	22	NA	162
78	NA	NA	78	3	16	2	656	NA	NA	NA	22	NA	162
79	NA	NA	79	3	16	3	657	NA	NA	NA	22	NA	162
80	NA	NA	80	3	17	2	658	133	127	99	19	4	162
81	NA	NA	81	3	17	3	659	NA	NA	NA	22	NA	162
82	NA	NA	82	3	18	2	660	133	127	99	19	4	162
83	NA	NA	83	3	18	3	661	NA	NA	NA	22	NA	162
84	NA	NA	84	3	19	2	662	133	127	99	19	4	162
85	NA	NA	85	3	19	3	663	NA	NA	NA	22	NA	162
86	NA	NA	86	3	20	2	664	133	127	99	19	4	162
87	NA	NA	87	3	20	3	665	NA	NA	NA	22	NA	162
88	NA	NA	88	4	1	2	956	158	42	NA	13	11	146
89	NA	NA	89	4	2	2	957	NA	NA	NA	22	NA	162
90	NA	NA	90	4	3	2	958	120	269	131	15	11	26
91	NA	NA	91	4	4	2	959	NA	NA	NA	22	NA	162
92	NA	NA	92	4	5	2	960	75	95	NA	23	11	221
93	NA	NA	93	4	6	2	961	NA	NA	NA	22	NA	162
94	NA	NA	94	4	7	2	962	NA	NA	NA	22	NA	162
95	NA	NA	95	4	8	2	963	NA	NA	NA	22	NA	162
96	NA	NA	96	4	9	2	964	NA	NA	NA	22	NA	162
97	NA	NA	97	4	10	2	965	198	84	132	15	11	108
98	NA	NA	98	4	11	2	966	NA	NA	NA	22	NA	162
99	NA	NA	99	4	12	2	967	NA	NA	NA	22	NA	162
100	NA	NA	100	4	12	3	968	NA	NA	NA	22	NA	162
101	NA	NA	101	4	13	2	969	NA	NA	NA	22	NA	162
102	NA	NA	102	4	13	3	970	NA	NA	NA	22	NA	162
103	NA	NA	103	4	14	2	971	199	31	69	12	11	224
104	NA	NA	104	4	14	3	972	NA	NA	NA	22	NA	162
105	NA	NA	105	4	15	2	973	133	127	99	19	4	162
106	NA	NA	106	4	15	3	974	NA	NA	NA	22	NA	162
107	NA	NA	107	4	16	2	975	133	127	99	19	4	162
108	NA	NA	108	4	16	3	976	NA	NA	NA	22	NA	162
109	NA	NA	109	4	17	2	977	133	127	99	19	4	162
110	NA	NA	110	4	17	3	978	NA	NA	NA	22	NA	162
111	NA	NA	111	4	18	2	979	133	127	99	19	4	162
112	NA	NA	112	4	18	3	980	NA	NA	NA	22	NA	162
113	NA	NA	113	4	19	2	981	133	127	99	19	4	162
114	NA	NA	114	4	19	3	982	NA	NA	NA	22	NA	162
115	NA	NA	115	4	20	2	983	NA	NA	NA	22	NA	162
116	NA	NA	116	4	20	3	984	NA	NA	NA	22	NA	162
117	NA	NA	117	5	1	2	1274	153	205	111	17	11	172
118	NA	NA	118	5	2	2	1275	153	220	115	18	11	172
119	NA	NA	119	5	3	2	1276	153	271	131	17	11	172
120	NA	NA	120	5	4	2	1277	NA	NA	NA	22	NA	162
121	NA	NA	121	5	5	2	1278	172	221	115	13	10	212
122	NA	NA	122	5	6	2	1279	172	221	115	13	10	212
123	NA	NA	123	5	7	2	1280	118	222	NA	12	10	223
124	NA	NA	124	5	8	2	1281	147	20	130	19	10	97
125	NA	NA	125	5	9	2	1282	147	20	130	18	10	98
126	NA	NA	126	5	10	2	1283	147	20	130	18	10	98
127	NA	NA	127	5	11	2	1284	NA	NA	NA	22	NA	162
128	NA	NA	128	5	12	2	1285	NA	NA	NA	22	NA	162
129	NA	NA	129	5	12	3	1286	NA	NA	NA	22	NA	162
130	NA	NA	130	5	13	2	1287	NA	NA	NA	22	NA	162
131	NA	NA	131	5	13	3	1288	NA	NA	NA	22	NA	162
132	NA	NA	132	5	14	2	1289	NA	NA	NA	22	NA	162
133	NA	NA	133	5	14	3	1290	NA	NA	NA	22	NA	162
134	NA	NA	134	5	15	2	1291	NA	NA	NA	22	NA	162
135	NA	NA	135	5	15	3	1292	NA	NA	NA	22	NA	162
136	NA	NA	136	5	16	2	1293	NA	NA	NA	22	NA	162
137	NA	NA	137	5	16	3	1294	NA	NA	NA	22	NA	162
138	NA	NA	138	5	17	2	1295	137	63	NA	12	11	19
139	NA	NA	139	5	17	3	1296	NA	NA	NA	22	NA	162
140	NA	NA	140	5	18	2	1297	137	63	NA	12	11	19
141	NA	NA	141	5	18	3	1298	NA	NA	NA	22	NA	162
142	NA	NA	142	5	19	2	1299	NA	NA	NA	22	NA	162
143	NA	NA	143	5	19	3	1300	NA	NA	NA	22	NA	162
144	NA	NA	144	5	20	2	1301	NA	NA	NA	22	NA	162
145	NA	NA	145	5	20	3	1302	NA	NA	NA	22	NA	162
146	NA	NA	146	6	1	2	1593	NA	NA	NA	22	NA	162
147	NA	NA	147	6	2	2	1594	83	NA	67	12	11	217
148	NA	NA	148	6	3	2	1595	NA	NA	NA	22	NA	162
149	NA	NA	149	6	4	2	1596	NA	NA	NA	22	NA	162
150	NA	NA	150	6	5	2	1597	209	51	NA	13	11	217
151	NA	NA	151	6	6	2	1598	209	51	NA	13	11	217
152	NA	NA	152	15	15	2	192	NA	NA	NA	22	NA	162
153	NA	NA	152	6	7	2	1599	NA	NA	NA	22	NA	162
154	NA	NA	153	6	8	2	1600	NA	NA	NA	22	NA	162
155	NA	NA	154	6	9	2	1601	67	174	98	13	11	217
156	NA	NA	155	6	10	2	1602	NA	NA	NA	22	NA	162
157	NA	NA	156	6	11	2	1603	NA	NA	NA	22	NA	162
158	NA	NA	157	6	12	2	1604	67	174	98	13	11	217
159	NA	NA	158	6	12	3	1605	NA	NA	NA	22	NA	162
160	NA	NA	159	6	13	2	1606	NA	NA	NA	22	NA	162
161	NA	NA	160	6	13	3	1607	NA	NA	NA	22	NA	162
162	NA	NA	161	6	14	2	1608	76	119	84	13	12	110
163	NA	NA	162	6	14	3	1609	NA	NA	NA	22	NA	162
164	NA	NA	163	6	15	2	1610	NA	NA	NA	22	NA	162
165	NA	NA	164	6	15	3	1611	NA	NA	NA	22	NA	162
166	NA	NA	165	6	16	2	1612	NA	NA	NA	22	NA	162
167	NA	NA	166	6	16	3	1613	NA	NA	NA	22	NA	162
168	NA	NA	167	6	17	2	1614	NA	NA	NA	22	NA	162
169	NA	NA	168	6	17	3	1615	NA	NA	NA	22	NA	162
170	NA	NA	169	6	18	2	1616	NA	NA	NA	22	NA	162
171	NA	NA	170	6	18	3	1617	NA	NA	NA	22	NA	162
172	NA	NA	171	6	19	2	1618	NA	NA	NA	22	NA	162
173	NA	NA	172	6	19	3	1619	NA	NA	NA	22	NA	162
174	NA	NA	173	6	20	2	1620	21	175	NA	12	11	218
175	NA	NA	174	6	20	3	1621	NA	NA	NA	22	NA	162
176	NA	NA	175	7	1	2	1874	NA	NA	NA	22	NA	162
177	NA	NA	176	7	2	2	1875	207	222	NA	13	11	217
178	NA	NA	177	7	3	2	1876	14	48	67	12	11	217
179	NA	NA	178	7	4	2	1877	NA	NA	NA	22	NA	162
180	NA	NA	179	7	5	2	1878	227	256	NA	13	11	217
181	NA	NA	180	7	6	2	1879	2	272	70	13	10	213
182	NA	NA	181	7	7	2	1880	NA	NA	NA	22	NA	162
183	NA	NA	182	7	8	2	1881	NA	NA	NA	22	NA	162
184	NA	NA	183	7	9	2	1882	35	223	NA	13	11	217
185	NA	NA	184	7	10	2	1883	NA	NA	NA	22	NA	162
186	NA	NA	185	7	11	2	1884	NA	NA	NA	22	NA	162
187	NA	NA	186	7	12	2	1885	NA	NA	NA	22	NA	162
188	NA	NA	187	7	12	3	1886	NA	NA	NA	22	NA	162
189	NA	NA	188	7	13	2	1887	NA	NA	NA	22	NA	162
190	NA	NA	189	7	13	3	1888	NA	NA	NA	22	NA	162
191	NA	NA	190	7	14	2	1889	NA	NA	NA	22	NA	162
